number ,article.title,location,lat,long,duration.hours,duration.of.study.days,camtrap.days,number.of.records,animal.richness ,animal.name,scientific.name,year,n.cams,bait (yes/no),month.of.study,temperature ,notes,mean.temp.for.sampling.period ,max.temp.for. Sampling. period ,mean.annual.temp(°C),N.sites,sample.design,,type
11,Random versus Game Trail-Based Camera Trap Placement Strategy for Monitoring Terrestrial Mammal Communities,"Ruaha National Park (RNP), Tanzania",-7.65,34.91,6720,16,10567,5167,41,,"Cercopithecus pygerythrus, Papio cynocephalus , Canis mesomelas, Octocyon megalotis, Lycaon pictus, Mellivora capensis, Mungos mungo, Bdeogale
crassicauda, Herpestes sanguinea , Ichneumia albicauda, Crocuta crocuta, Proteles cristata, Genetta genetta, Genetta tigrina, Civettictis civetta, Felis sylvestris, Felis serval, Felis caracal, Acinonyx jubatus, Panthera pardus, Panthera leo, Smutsia temminckii, Hystrix cristata, Orycteropus afer, Loxodonta africana, Equus quagga, Hippopotamus
amphibious, Potamochoerus larvatus, Phacochoerus africanus, Giraffa camelopardalis, Syncerus caffer, Tragelaphus scriptus, Tragelaphus
imberbis, Tragelaphus
strepsiceros",2013-2014,,no,"Septmeber-November, December-February",,,,,,,grid 2km2,,"savanna, woodland "
12,Oil palm plantations fail to support mammal diversity,"Danum Valley Conservation Area (DVCA) Sabah, Malaysian Borneo",4.96,117.69,,,1574,688,19,,,2013,53,no,January-April,,,,,26.9,2,transect,,forest
,,,,,,,1191,889,17,,,2013,38,no,January-April,,,,,26.9,2,transect,,plantation
13,Performance of camera trapping and track counts for surveying large mammals in rainforest remnants,"Tapira?´ and Piedade, Sao Paulo State, Brazil",-25.8,-73.85,,,456,,12,,"Didelphis aurita,  Dasypus novemcinctus, Euphractus sexcinctus, Tamandua tetradactyla, Canis lupus, Cerdocyon thous, Nasua nasua, Procyon cancrivorus, Eira Barbara, Galictis cuja,  Leopardus spp., Mazama spps., Hydrochoeris hydrochaeris, Dasyprocta azarae, Silvilagus brasiliensis",2006-2007,,yes ,October-July ,,,,12.9,18.9,24,distance,,tropical forest
14,Domestic dogs in Atlantic forest preserves of south-eastern Brazil: a camera-trapping study on patterns of entrance and site occupancy rates,"Santa Lucia Biological Station, Brazil",-19.96,-40.51,42000,,2142,292,21,,"Dasyprocta leporrina, Didelphis aurita, Cuniculus paca, Canis lupus, Metachirus nudicaudatus, Procyon cancrivorus, Dasypus novecinctus, Puma conclor, Pecari tajacu, Nasua nasua, Rodentia sp., Cabassous sp., Cerdocyon sous, Sylvilagus brasiliensis, Sciurus aestuans, Eira barbara, Leopardus tigris, Puma yagouaroundi, Didelphimorphia sp., Euphractus sexcinctus, Hydrochoerus hydrochaeris, Philander frenatus.",2002-2004,28,no,February-February ,,,,,19.9,12,distance (300m) ,,"tropical forest, plantation "
15,Large Mammals in an Agroforestry Mosaic in the Brazilian Atlantic Forest,"Una and Arataca, Bahia ",-39.23,-16.15,,,,,19,,,,,no,,,,,,24,,,,"forest, plantation"
,,,,,,,1895,,,,,2007-2008,,,July-October,,,,,,18,,,
,,,,,,,2080,,,,,2008-2009,,,Janaury-April,,,,,,,,,
16,"CAMERA-TRAPPING SURVEY OF MAMMALS IN AND AROUND IMBAK CANYON CONSERVATION AREA IN SABAH, MALAYSIAN BORNEO","Imbak Canyon Conservation Area, Sabah, Malaysia ",5.59,11.69,,,1436,1641,27,,"Neofelis diardi, Pardofelis marmorata, Prionailurus bengalensis , Viverra tangalunga, Hemigalus derbyanus , Paguma larvata, Arctictis binturong, Prionodon linsang , Martes fl avigula , Lutrogale perspicillata , Herpestes semitorquatus, H. brachyurus, Helarctos malayanus, Muntiacus spp. , Rusa unicolor , Tragulus spp. , Sus barbatus , Manis javanica , Hystrix brachyura , Trichys fasciculata , Hystrix crassispinis, Rheithrosciurus macrotis , Macaca fascicularis , M. nemestrina , Presbytis rubicunda, P. hosei , Pongo pygmaeus ",2012,80,no,July-Septmeber,,,,,,60,"animal frequency, distance",,"forest, canyon"
,,,,,,,,,,,,,,,,,,,,,,,,
17,Using camera trapping and hierarchical occupancy modelling to evaluate the spatial ecology of an African mammal community,Ngamiland District of northern Botswana,-19.51,23.61,,,6607,8668,44,,,2015,88,no,February-July,,,,,,44,grid,,
18,"Terrestrial mammal species richness and composition in three small forest patches within an oil palm landscape in Sabah, Malaysian Borneo","Tabin Wildlife reserve, Sabah Malaysia, Northern Borneo ",5.22,118.63,,,3733,1871,26,,"Muntiacus spp., Rusa unicolor, Bos javanicus, Sus barbatus, Tragulus spp., Neofelis diardi, Pardofelis badia, Prionailurus bengalensis, Pardofelis marmorata, Martes flavigula, Mustela nudipes, Mydaus javanensis, Helarctos malayanus, Hemigalus derbyanus , Viverra tangalunga, Paradoxurus hermaphroditus, Herpestes spp., Echinosorex gymnura, Macaca fascicularis, Macaca nemestrina, Pongo pygmaeus morio, Elephas maximus borneensis, Hystrix brachyura, Hystrix crassispinis, Trichys fasciculata , Tupaia spp.",,15,,,,,,,,15,"200m interval, trail ",,forest
,,,,,,,,,,,,2009,,,May-August,,,,,,,,,
,,,,,,,,,,,,2010,,,January-April,,,,,,,,,
19,Distribution of Wild Mammal Assemblages along an Urban-Rural-Forest Landscape Gradient in Warm-Temperate East Asia,"Tokyo, Japan",35.67,139.65,,,,1329,12,,,2009-2010,,,September-October,,,,,15.6,148,grid,,urban
20,How long is enough to detect terrestrial animals? Estimating the minimum trapping effort on camera traps,Gutianshan National Nature Reser,29.25,118.12,,,13824,1727,10,,"Bambusicola thoracicus, Lophura nycthemera, Syrmaticus ellioti, Pucrasia macrolopha, Picus canus, Pitta nympha, Zoothera dauma, Turdus obscurus, Turdus pallidus, Garrulax pectoralis, Niviventer confucianus, Leopoldamys edwardsi , Callosciurus erythraeus, Arctonyx collaris, Melogale moschata, Meles meles, Sus scrofa, Muntiacus reevesi , Muntiacus crinifrons",2009-2011,19,no,April-September,,,,,15.3,,haphazard,,
21,Effective detection methods for medium-sized ground-dwelling mammals: a comparison between infrared digital cameras and hair tunnels,"Ben Boyd National Park and Nadgee Nature Reserve, new south wales, Australia",149.97,-37.135,360,,,,16,,"Antechinus spp., Canis lupus, Cercatetus nanus , Cervus unicolor, Dasyurus maculatus, Felis catus, Isoodon obesulus, Oryctolagus cuniculus, Perameles nasuta, Potorous tridactylus, Pseudocheirus peregrinus, Rattus spp., Sminthopsis spp., Tachyglossus aculeatus, Trichosurus spp., Vombatus ursinus. Vulpes vulpes,
Wallabia bicolor ",,110,yes,,,,,,,,,,woodlad/forest
22,"Impact of land use on occupancy and abundance of terrestrial mammals in the Drakensberg Midlands, South Africa","Fort Nottingham and Mooi River, South Africa",-10.48,30.01,720,30,1320,3575,25,,,2012-2013,,no,October-January ,,,,,,44,grid (2km²),,woodland
23,High mammal species turnover in forest patches immersed in biofuel plantations,"Sao Paulo, Brazil ",-22,-44,126720,,,,29,,,2014-2015,176,no,January-September,,,,,,22,distance,,tropical forest
24,Determinants of species richness within and across taxonomic groups in urban green spaces,"Hanover, Germany ",52.38,9.73,168,,,,14,,,2012-2013,,no,September-May,,,,,,32,,,urban
25,Terrestrial mammal responses to habitat structure and quality of remnant riparian forests in an Amazonian cattle-ranching landscape,"Alta Floresta, Brazil",-9.88,-56.48,,5,10441,4459,25,,,"2013, 2014",45,no,May-October,,,,,,10,distance,,Amazonian forest
,,"Paranaita, Brazil",-9.67,-56.8,,,,,,,,,,,,,,,,,,,,
,,"Carlinda, Brazil",-9.96,-55.82,,,,,,,,,,,,,,,,,,,,
26,No changes in seedling recruitment when terrestrial mammals are excluded in a partially defaunated Atlantic rainforest,"Carlos Botelho State Park, Sao Paulo, Brazil",-24.13,-47.96,,,497,,21,,"Didelphis aurita, Cabassous tatouay, Dasypus spp., Myrmechophaga tridactyla,  Alouatta guariba,  arachnoides, Sapajus nigritus, Cuniculus paca, Dasyprocta azarae, Cerdocyon thous,  Eira barbara,  Lontra longicaudis,  Leopardus pardalis, Leopardus spp, Nasua nasua, Procyon cancrivorus,  Panthera onca,  Puma concolor, Tapirus terrestris,  Mazama spp., Pecari tajacu",2009-2010,,no,September-June ,,,,,16,,distance,,tropical rain forest
27,Use of Atlantic Forest protected areas by free-ranging dogs: estimating abundance and persistence of use,"Atlantic Forest, Brazil",-16.5,-39.25,19200,,,1249,24,,,2008-2012,32,no,,,,,,,20,distance,,tropical rain forest
28,Native habitat and protected area size matters: Preserving mammalian assemblages in the Maputaland Conservation Unit of South Africa,"Maputaland Conservation Unit, South Aftica",,,,,,,,,,,,,,,,,,,,grid,,
,,Eastern Shore,-28.198,32.51,,24,1176,,28,,,2014,49,no,July,,,,,6,,,,plantation
,,Western Shores,-28.19,32.39,,24,1488,,32,,,2014,62,no,August,,,,,,,,,
,,False Bay,-27.97,32.36,,24,168,,20,,,2013,7,no,September,,,,,,,,,
,,Tembe South ,-27.03,32.43,,46,966,,31,,,2014,21,no,November,,,,,,,,,
,,Tem North east/west,-26.89,32.52,,43,1919,,32,,,2015,22,no,February,,,,,,,,,
,,Ndumo Game Reserve ,-26.88,32.24,,30,660,,26,,,2013,22,no,December,,,,,,,,,
29,Quantifying mammal biodiversity co-benefits in certified tropical forests,,,,960,,,2940,37,,,,,,,,,,,,3,,,forest
,,Derakmot Forrest Reserve,5.35,117.47,,,,,,,,,67,no,,,,,,,,,,
,,Tngkulap Forest Reserve,5.38,117.47,,,,,,,,,64,no,,,,,,,,,,
,,Segaliud Lokan Forest,5.4,117.52,,,,,,,,,55,no,,,,,,,,,,
30,Grain-dependent responses of mammalian diversity to land use and the implications for conservation set-aside,Sabah Malaysian Borneo ,,,,,26251,12788,13,,,20112-2014,543,no,May-March,,,,,,,,,"forest, plantatation, logged forest"
31,Landscape features lead to shifts in communities of medium- to large-bodied mammals in subtropical Atlantic Forest,"santa catarina state, souther Brazil ",-27,-50,,,,11998,2165,,"Puma concolor, Leopardus pardalis, Leopardus wiedii, Leopardus guttulus , Puma yagouaroundi,  Tapirus terrestris, Hydrochoerus hydrochaeris , Mazama americana ,  Mazama gouazoubira, Mazama nana , Cuniculus paca , Dasyprocta azarae , Lepus europaeus , Tayassu pecari , Pecari tajacu , Eira barbara , Nasua nasua , Procyon cancrivorus , Lycalopex gymnocercus , Cerdocyon thous , Cabassous tatouay , Dasypus novemcinctus , Didelphis albiventris , Didelphis aurita, Galictis cuja , Philander frenatus",2005-2011,26,no,,,,,,15,9,trail,,subtropical
32,Do coyotes Canis latrans influence occupancy of prey in suburban forest fragments?,,,,,,308,,4,,"Odocoileus virginianus , Squirrel Sciurus niger , Sciurus carolinensis , Sciurus carolinensis , Sylvilagus floridanus , Meleagris gallopavo ",2009-2010,,no,October-May,,,,,,22,distance,,urban
,,"Longview Lake, Lee's summit, Missouri",38.91,-94.47,,,,,,,,,,,,,,,,,,,,
,,"Warrensburg, Missouri",38.76,-93.74,,,,,,,,,,,,,,,,,,,,
33,"Comparison of two mammalian surveys made with camera traps in southeastern Brazil, focusing the abundance of wild mammals and domestic dogs","serra do Japi, Sao Paulo, Brazil",-23.3,-46.28,,,,,13,,,,,,,,,,,18,,distance,,tropical forest
,,,,,"15,108",,,,,,,2006-2007,,7,July-February ,,,,,,,,,
,,,,,8448,,,,,,,2009-2010,,10,July-February ,,,,,,,,,
34,The impact of habitat fragmentation on the ecology of xenarthrans (Mammalia) in the Brazilian Cerrado,"cerrado domain, Brazil ",,,,,29618,,7,,"Priodontes maximus , Euphractus sexcinctus , Dasypus novemcinctus , Cabassous unicinctus , Tolypeutes tricinctus , Tamandua tetradactyla, Myrmecophaga tridactyla",,,no,,,,,,,,distance,,
35,Flood-mediated use of habitat by large and midsized mammals in the Brazilian Pantanal,"Rio Platano, Honduras",15.74,-84.65,,,2040,116,18,,,2008,48,no,May-August,,,,,,19,distance,,tropical forest
36,Estimating mammalian species richness and occupancy in tropical forest canopies with arboreal camera traps,Maijuna-Kichwa Conservation area,-3.1,-72.9,,,3147,703,18,,"Alouatta seniculus, Lagothrix lagothrica, Callicebus lucifer, Callicebus discolor, Pithecia hirsuta, Aotus vociferans, Cebus yuracus, Saimiri macrodon, Leontocebus nigricollis, Cebuella pygmaea, Tamandua tetradactyla, Choloepus didactylus, Sciurus igniventris, Sciurus igniventris, Coendou prehensilis, Eira barbara, Potos flavus, Bassaricyon alleni, Caluromys lanatus",2013-2014,42,no,November-December,,,,,,,grid,,tropical forest
37,Logging and indigenous hunting impacts on persistence of large Neotropical animals,"Iwokrama Forest, Guyana",4.5,-59,,,,,,,,2011,,no,June-August,,,,,2,,diameter,,
,,logged forest,,,,,808,270,17,,,,25,,,,,,,,,,,
,,unlogged forest,,,,,805,180,15,,,,27,,,,,,,,,,,
38,Oil palm monoculture induces drastic erosion of an Amazonian forest mammal fauna,,,,,,,,,,"Blastocerus dichotomus, Nazana americana, Pecari tajacu, Tayassu pecari, Leopardus pardalis, Panthera onca, Eira barbara, Procyon cancrivorus, Dasyprocta azarae, Hydrochoeris hydrochaeris,Myrmecophaga tridactyla",2009-2010,,yes,October-Semptember,,,,,,,,,
,"parivateland, Brazil",,-16.43,-57.73,,,640,,11,,,,8,no,,,,,,,,,,"marshes, riperian forest"
,"Taiama Ecological station, Brazil",,-16.83,-57.58,,,,,,,,,8,no,,,,,,,,,,dry forest
39,"A Direct Comparison of Camera-Trapping and Sign Transects for Monitoring Wildlife in the Wanglang National Nature Reserve, China","Wanlang National Centre Reserve, China",32.93,104.05,,,3793,312,21,,,2004-2005,118,no,Septmeber-October,,,,,23.2,2,"trail, distance",,"mixed forest, meadow"
40,"A survey of mid and large bodied mammals in Nucleo Caraguatatuba, Serra do Mar State Park, Brazil","Serra do Mar State Park, Brazil",-22.41,-42.24,,,223.2,,12,,,2011,12,no,June-July,,,,,,,,,
41,High Carbon Stock forests provide co-benefits for tropical biodiversity,"Kalabakan Reserve, Sabah Malaysian Borneo ",4.7,116.95,,,4669,3237,28,,,,,no,,,,,,,130,distance,,"forest logged/unlogged, oil palm plantation"
42,Oil palm monoculture induces drastic erosion of an Amazonian forest mammal fauna,Agropalma private landholding,-1.93,-48.76,,,6720,749,36,,,2014-2015,,no,December-December,,,,,26.6,,,,"forest, oil palm plantation"
43,Using camera trap data to assess the impact of bushmeat hunting on forest mammals in Tanzania,,,,,,,,,,,,,no,,,,,,,2,,,
,,"Uzungwa Forest Reserve, Tanzania",,,,,850,714,15,,,2013-2014,25,,December-January,,,,,,,grid,,
,,"Mwanihana Forest, Tanzania",,,,,917,984,23,,,2013,60,,July-November,,,,,,,,,
44,"Predictors of mammal species richness in KwaZulu-Natal, South Africa","Kwazulu-Natal, South Africa",-28.53,30.89,3024,,882,2971,38,,,2012-2013,42,no,January-April ,,,,,,3,distance,,variety
45,"Using Infra-Red Camera Trapping Technology to Monitor Mammals along Karakorum Highway in Khunjerab National Park, Pakistan",Khuenjab National Park ,36.5,75.62,,,690,99,5,,"Vulpes vulpes, Lepus capensis, Capra ibex sibirica, Uncia uncial, Mustelidae species ",2013,,no,June-November,,,,,,,tracks,,Himalayan ecosystem
46,Multi-species occupancy modelling of mammal and ground bird communities in rangeland in the Karoo: A case for dryland systems globally,"western cape, Karoo, South Aftica",-32.81,22.23,,,4035,4185,42,,,2012-2014,,no,September-May,,,,,,322,grid,,dryland
47,Human-modified landscape acts as refuge for mammals in Atlantic Forest,,-22,-47,,,1068,,16,,,2012,5 to 8,no,March-December,,,,,,,,,forest
