number ,article.title,location,lat,long,duration.hours,duration.of.study.days,camtrap.days,number.of.records,animal.richness ,animal.name,scientific.name,year,n.cams,bait (yes/no),month.of.study,temperature ,notes,mean.temp.for.sampling.period ,max.temp.for. Sampling. period ,mean.annual.temp(°C),N.sites,sample.design,,type
55,"Do Bird Friendly (R) Coffee Criteria Benefit Mammals? Assessment of Mammal Diversity in Chiapas, Mexico","Chipas, Mexico ",15.14,-92.27,,,230,172,10,,,2014,,yes,Janury-April,,,,,,,,,
56,Buffer zone use by mammals in a Cerrado protected area,"Luiz Antonio Experimental Station, Sao Paulo, Brazil",-21.05,-47.83,,,3150,,31,,,2013,18,no,,,,,,,52,,,"woodland, semi-deciduous forest"
57,Fruit gardens enhance mammal diversity and biomass in a Southeast Asian rainforest,"Krau Wildlife Reserve, Pahang, Malaysia",3.55,102.5,,,1024,1678,21,,"Muntiacus muntjak, Rusa unicolor, Rusa unicolor, Tragulus spp, Aonyx cinerea, Helarctos malayanus, Viverra megaspila, Paguma larvata, Arctogalidia trivirgata, Chalcophaps indica, Argusianus argus, Lophura ignita, Polyplectron malacense, Tapirus indicus, Macaca fascicularis, Macaca nemestrina, Atherurus macrourus, Hystrix brachyura, Varanus salvator",,,yes,,,,,,,,trail,,dipterocarp forest
58,Impact of alien trees on mammal distributions along an ephemeral river in the Namib Desert,"Swakop River, Namibia",-22.66,14.53,,,1269,,23,,"Raphicerus campestris, Papio ursinus, Oryx gazelle, Tragelaphus strepsiceros , Canis mesomelas, Sylvicapra grimmia , Sylvicapra grimmia , Felis silvestris lybica, Oreotragus oreotragus, Antidorcus marsupialis, Hystrix africaeaustralis, Equus zebra, Mellivora capensis, Ictonyx striatus, Caracal caracal, Civettictis civetta , Cynictis penicillata, Procavia capensis, Orycteropus afer, Panthera pardus, Phacochoerus africanus , Xerus inauris",2010,13,no,July-November,,,,,,,haphazard,,desert
59,"Estimating Species Richness and Modelling Habitat Preferences of Tropical Forest Mammals from Camera Trap Data (vol 9, e103300, 2014)",,-7.77,36.7,,,1818,10647,26,,,2009,20,no,July-November,,,19.9,,,,grid,,"mountain, most forest"
60,"A camera trap assessment of the forest mammal community within the transitional savannah-forest mosaic of the Bateke Plateau National Park, Gabon","Bateke Plateau National Park, Gabon",-2.18,14.02,,,5902,,31,,,2014-2015,40,no,June-May,,,,,,,grid,,forest
61,"Assessing the impacts of oil exploration and restoration on mammals in Murchison Falls Conservation Area, Uganda","Murchison Falls Conservation Area, Uaganda",2.1458,31.81,,,1089,1756,27,,"Phacochoerus africanus , Kobis kob, Alcelaphus buselaphus, Ourebia ourebi, Syncerus caffer, Kobus ellipsiprymnus, Loxodonta africana, Giraffa camelopardis rothschildi, Hippopotamus amphibious, Papio anubis, Crocuta crocuta, Hystrix cristata, Tragelaphus scriptus, Erythrocebus patas, Orycteropus afer, Panthera pardus, Sylvicapra grimmia , Poelagus marjorita, Genetta maculata, Potamochoerus larvatus, Potamochoerus larvatus, Xerus erythropus, Panthera leo, Redunca redunca, Cricetomys gambianus, Herpestes ichneumon, Canis mesomelas",2014,15,no,May-August,,,,,25.5,3,distance,,forest
62,Tree monocultures in a biodiversity hotspot: Impact of pine plantations on mammal and bird assemblages in the Atlantic Forest,"Misiones Province, Argentina",-25.931,-54.258,,,,4735,57,,,2013-2014,184,no,May-December,,,,,,,distance,,subtropical forest
63,"First structured camera-trap surveys in Karen State, Myanmar, reveal high diversity of globally threatened mammals","Karen State, Myanmar",16.95,97.95,,,9511,4191,31,,,2014-2015,20,no,December-July,,,,,,,haphazard,,tropical forest
64,The importance of grass cover for mammalian diversity and habitat associations in a bush encroached savanna,"Mlawula Nature Reserve and Mbuluzi Game Reserve, Swaziland",-26.2,32.004,9720,,,,21,,"Equus quagga, Connochaetes taurinus, Kobus ellipsiprymnus, Phacochoerus africanus, Tragelaphus angasii , Aepyceros melampus, Giraffa camelopardalis, Tragelaphus strepsiceros, Tragelaphus scriptus, Sylvicapra grimmia, Potamochoerus larvatus, Crocuta crocuta, Canis adustus, Leptailurus serval, Genetta maculata, Atilax paludinosu, Galerella sanguinea, Papio ursinus, Chlorocebus pygerythrus, Orycteropus afer, Hystrix africaeaustralis","2012, 2013",,no,"December-February, June-August",,,,,,,grid,,"savanna, riperian forest"
65,Diversity of terrestrial mammal seed dispersers along a lowland Amazon forest regrowth gradient,"Northeastern Amazon, Brazil",0.92,-51.59,,,827,232,6,,,2016,30,no,June-July,,,,,,2,distance,,tropical forest
66,"Artillery for Conservation: The Case of the Mammals Protected by the Formosa Military Training Area, Brazil","Formosa MTA, Brazil",-16,-47.23,,,426250,1584,29,,,2014-2015,50,no ,August-May,,,,,,,,,cerrado
67,"Free-ranging livestock influence species richness, occupancy, and daily behaviour of wild mammalian species in Baluran National Park, Indonesia","Baluran National Park, Indonesia ",-7.83,114.39,,,1562,23021,11,,"B. javanicus, B. bubalis, P. pardus, R. timorensis, S. scrofa, M. muntjak, C. alpinus, T. auratus, H. javanica, P. bengalensis and P. hermaphroditus",2015-2016,39,no,August-January,,,,,,2,distance,,"savanna, lowland forest"
68,"Diversity and activity patterns of sympatric animals among four types of forest habitat in Guanyinshan Nature Reserve in the Qinling Mountains, China","GNR, Qunling Mountains, China ",33.67,108,,,,1693,24,,"Naemorhedus goral, Prionailurus bengalensis, Budorcas taxicolor, Elaphodus cephalophus, Chrysolophus pictus, Sus scrofa, Capricornis milneedwardsii, Tragopan temminckii, Muntiacus reevesi, Hystrix hodgsoni, Pucrasia macrolopha, Martes flavigula, Meles meles, Arctonyx collaris,   Callosciurus erythraeus, Rhinopithecus roxellana, Microtus arvalis, Mustela sibirica, Ursus thibetanus,  Ailuropoda melanoleuca, Paguma larvata, Nucifraga caryocatactes, Canis familiaris, Moschus berezovskii
",2009-2012,,no,August-July,,,,,,,cover type,,
69,,,,,,,,,,,,,,,,,,,,,,,,
