site,sensor,date,year,month,day,hour.24,hour,lat,lon,microsite,rep,temp,intensity,pendant.id,timeblock,soil.moisture,cover.type
panoche,hobo.pendant,05/20/19,2019,5,20,5:46:26,5:46:26 AM,36.69363,-120.79318,triangle,1,66.537,,20578912,evening,23,15
panoche,hobo.pendant,05/20/19,2019,5,20,6:46:26,6:46:26 AM,36.69363,-120.79318,triangle,1,66.366,,20578912,morning,23,15
panoche,hobo.pendant,05/20/19,2019,5,20,7:46:26,7:46:26 AM,36.69363,-120.79318,triangle,1,66.366,,20578912,morning,23,15
panoche,hobo.pendant,05/20/19,2019,5,20,8:46:26,8:46:26 AM,36.69363,-120.79318,triangle,1,62.598,,20578912,morning,23,15
panoche,hobo.pendant,05/20/19,2019,5,20,9:46:26,9:46:26 AM,36.69363,-120.79318,triangle,1,62.769,,20578912,morning,23,15
panoche,hobo.pendant,05/20/19,2019,5,20,10:46:02,10:46:02 AM,36.69363,-120.79318,triangle,1,63.968,384,20578912,morning,23,15
panoche,hobo.pendant,05/20/19,2019,5,20,11:46:02,11:46:02 AM,36.69363,-120.79318,triangle,1,63.282,384,20578912,morning,23,15
panoche,hobo.pendant,05/20/19,2019,5,20,12:46:02,12:46:02 PM,36.69363,-120.79318,triangle,1,69.278,288,20578912,afternoon,23,15
panoche,hobo.pendant,05/20/19,2019,5,20,1:46:26,1:46:26 AM,36.69363,-120.79318,triangle,1,73.062,468,20578912,evening,23,15
panoche,hobo.pendant,05/20/19,2019,5,20,2:46:26,2:46:26 AM,36.69363,-120.79318,triangle,1,73.58,384,20578912,evening,23,15
panoche,hobo.pendant,05/20/19,2019,5,20,3:46:26,3:46:26 AM,36.69363,-120.79318,triangle,1,72.891,3584,20578912,evening,23,15
panoche,hobo.pendant,05/20/19,2019,5,20,4:46:26,4:46:26 AM,36.69363,-120.79318,triangle,1,96.361,496,20578912,evening,23,15
panoche,hobo.pendant,05/20/19,2019,5,20,5:46:26,5:46:26 AM,36.69363,-120.79318,triangle,1,92.55,468,20578912,evening,23,15
panoche,hobo.pendant,05/20/19,2019,5,20,6:46:26,6:46:26 AM,36.69363,-120.79318,triangle,1,77.923,2688,20578912,morning,23,15
panoche,hobo.pendant,05/20/19,2019,5,20,7:46:26,7:46:26 AM,36.69363,-120.79318,triangle,1,59.68,96,20578912,morning,23,15
panoche,hobo.pendant,05/20/19,2019,5,20,8:46:26,8:46:26 AM,36.69363,-120.79318,triangle,1,49.05,,20578912,morning,23,15
panoche,hobo.pendant,05/20/19,2019,5,20,9:46:26,9:46:26 AM,36.69363,-120.79318,triangle,1,47.446,,20578912,morning,23,15
panoche,hobo.pendant,05/20/19,2019,5,20,10:46:02,10:46:02 AM,36.69363,-120.79318,triangle,1,45.828,,20578912,morning,23,15
panoche,hobo.pendant,05/20/19,2019,5,20,11:46:02,11:46:02 AM,36.69363,-120.79318,triangle,1,44.013,,20578912,morning,23,15
panoche,hobo.pendant,05/21/19,2019,5,21,12:46:02,12:46:02 PM,36.69363,-120.79318,triangle,1,43.466,,20578912,afternoon,23,15
panoche,hobo.pendant,05/21/19,2019,5,21,1:46:26,1:46:26 AM,36.69363,-120.79318,triangle,1,44.742,,20578912,evening,23,15
