site,sensor,year,month,day,hour,microsite,temp,RH
Panoche,station,2014,1,6,12,site,12.17,52
Panoche,station,2014,1,6,13,site,13.28,51
Panoche,station,2014,1,6,14,site,14.56,47
Panoche,station,2014,1,6,15,site,15.44,44
Panoche,station,2014,1,6,16,site,15.28,45
Panoche,station,2014,1,6,17,site,12.72,53
Panoche,station,2014,1,6,18,site,9.94,63
Panoche,station,2014,1,6,19,site,9.17,64
Panoche,station,2014,1,6,20,site,9.06,65
Panoche,station,2014,1,6,21,site,8.72,72
Panoche,station,2014,1,6,22,site,8.56,71
Panoche,station,2014,1,6,23,site,8.11,75
Panoche,station,2014,1,6,24,site,6.72,79
Panoche,station,2014,1,7,1,site,6.83,78
Panoche,station,2014,1,7,2,site,6.06,75
Panoche,station,2014,1,7,3,site,4.61,76
Panoche,station,2014,1,7,4,site,4.33,78
Panoche,station,2014,1,7,5,site,3.94,81
Panoche,station,2014,1,7,6,site,4.06,81
Panoche,station,2014,1,7,7,site,3.94,83
Panoche,station,2014,1,7,8,site,3.06,84
Panoche,station,2014,1,7,9,site,5.44,82
Panoche,station,2014,1,7,10,site,9.44,67
Panoche,station,2014,1,7,11,site,13,53
Panoche,station,2014,1,7,12,site,14.06,48
Panoche,station,2014,1,7,13,site,15.22,44
Panoche,station,2014,1,7,14,site,15.33,44
Panoche,station,2014,1,7,15,site,16.44,39
Panoche,station,2014,1,7,16,site,16.28,40
Panoche,station,2014,1,7,17,site,14.11,49
Panoche,station,2014,1,7,18,site,11.28,59
Panoche,station,2014,1,7,19,site,9.67,63
Panoche,station,2014,1,7,20,site,6.22,70
Panoche,station,2014,1,7,21,site,5.56,75
Panoche,station,2014,1,7,22,site,3.72,73
Panoche,station,2014,1,7,23,site,2.72,73
Panoche,station,2014,1,7,24,site,2.94,76
Panoche,station,2014,1,8,1,site,1.39,79
Panoche,station,2014,1,8,2,site,3.78,87
Panoche,station,2014,1,8,3,site,1.06,87
Panoche,station,2014,1,8,4,site,1.83,91
Panoche,station,2014,1,8,5,site,0.78,91
Panoche,station,2014,1,8,6,site,1.06,91
Panoche,station,2014,1,8,7,site,2.39,91
Panoche,station,2014,1,8,8,site,1.56,92
Panoche,station,2014,1,8,9,site,4.94,89
Panoche,station,2014,1,8,10,site,9.28,81
Panoche,station,2014,1,8,11,site,12.44,76
Panoche,station,2014,1,8,12,site,13.44,72
Panoche,station,2014,1,8,13,site,14.56,65
Panoche,station,2014,1,8,14,site,15.56,60
Panoche,station,2014,1,8,15,site,15.72,59
Panoche,station,2014,1,8,16,site,15.17,62
Panoche,station,2014,1,8,17,site,13.72,67
Panoche,station,2014,1,8,18,site,11.61,71
Panoche,station,2014,1,8,19,site,9.28,78
Panoche,station,2014,1,8,20,site,7.89,86
Panoche,station,2014,1,8,21,site,6.56,90
Panoche,station,2014,1,8,22,site,6.56,90
Panoche,station,2014,1,8,23,site,4.89,91
Panoche,station,2014,1,8,24,site,3.83,91
Panoche,station,2014,1,9,1,site,2.28,92
Panoche,station,2014,1,9,2,site,2.56,94
Panoche,station,2014,1,9,3,site,2.61,94
Panoche,station,2014,1,9,4,site,2.78,94
Panoche,station,2014,1,9,5,site,3.28,93
Panoche,station,2014,1,9,6,site,3.67,92
Panoche,station,2014,1,9,7,site,3.78,91
Panoche,station,2014,1,9,8,site,3.94,90
Panoche,station,2014,1,9,9,site,5.72,88
Panoche,station,2014,1,9,10,site,8.67,81
Panoche,station,2014,1,9,11,site,12.39,70
Panoche,station,2014,1,9,12,site,14.11,65
Panoche,station,2014,1,9,13,site,15.67,59
Panoche,station,2014,1,9,14,site,16.78,53
Panoche,station,2014,1,9,15,site,16.67,53
Panoche,station,2014,1,9,16,site,16.72,52
Panoche,station,2014,1,9,17,site,15.39,57
Panoche,station,2014,1,9,18,site,13.33,64
Panoche,station,2014,1,9,19,site,12.56,67
Panoche,station,2014,1,9,20,site,12.5,68
Panoche,station,2014,1,9,21,site,10.83,73
Panoche,station,2014,1,9,22,site,8,79
Panoche,station,2014,1,9,23,site,6.06,82
Panoche,station,2014,1,9,24,site,4.44,84
