site,sensor,date,year,month,day,hour,lat,lon,microsite,rep,temp,intensity,pendant.id
panoche,hobo.pendant,05/20/19,2019,5,20,13:24:11,36.69532,-120.79684,shrub.soil,1,74.791,144,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,14:24:11,36.69532,-120.79684,shrub.soil,1,77.574,2,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,15:24:11,36.69532,-120.79684,shrub.soil,1,78.449,22,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,16:24:11,36.69532,-120.79684,shrub.soil,1,76.181,8,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,17:24:11,36.69532,-120.79684,shrub.soil,1,71.856,1,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,18:24:11,36.69532,-120.79684,shrub.soil,1,69.278,,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,19:24:11,36.69532,-120.79684,shrub.soil,1,63.968,,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,20:24:11,36.69532,-120.79684,shrub.soil,1,60.024,,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,21:24:11,36.69532,-120.79684,shrub.soil,1,57.785,,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,22:24:11,36.69532,-120.79684,shrub.soil,1,56.057,,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,23:24:11,36.69532,-120.79684,shrub.soil,1,54.147,,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,00:24:11,36.69532,-120.79684,shrub.soil,1,52.576,,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,01:24:11,36.69532,-120.79684,shrub.soil,1,51.523,,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,02:24:11,36.69532,-120.79684,shrub.soil,1,50.643,,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,03:24:11,36.69532,-120.79684,shrub.soil,1,51.699,,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,04:24:11,36.69532,-120.79684,shrub.soil,1,49.759,,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,05:24:11,36.69532,-120.79684,shrub.soil,1,49.582,,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,06:24:11,36.69532,-120.79684,shrub.soil,1,50.819,,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,07:24:11,36.69532,-120.79684,shrub.soil,1,53.274,,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,08:24:11,36.69532,-120.79684,shrub.soil,1,60.883,3,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,09:24:11,36.69532,-120.79684,shrub.soil,1,67.564,4,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,10:24:11,36.69532,-120.79684,shrub.soil,1,72.028,5,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,11:24:11,36.69532,-120.79684,shrub.soil,1,70.308,2,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,12:24:11,36.69532,-120.79684,shrub.soil,1,77.4,11,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,13:24:11,36.69532,-120.79684,shrub.soil,1,71.512,3,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,14:24:11,36.69532,-120.79684,shrub.soil,1,70.995,2,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,15:24:11,36.69532,-120.79684,shrub.soil,1,65.509,,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,16:24:11,36.69532,-120.79684,shrub.soil,1,65.167,4,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,17:24:11,36.69532,-120.79684,shrub.soil,1,63.111,,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,18:24:11,36.69532,-120.79684,shrub.soil,1,60.368,,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,19:24:11,36.69532,-120.79684,shrub.soil,1,56.23,,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,20:24:11,36.69532,-120.79684,shrub.soil,1,54.322,,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,21:24:11,36.69532,-120.79684,shrub.soil,1,52.75,,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,22:24:11,36.69532,-120.79684,shrub.soil,1,51.346,,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,23:24:11,36.69532,-120.79684,shrub.soil,1,50.466,,1174238
panoche,hobo.pendant,05/22/19,2019,5,22,00:24:11,36.69532,-120.79684,shrub.soil,1,51.699,,1174238
panoche,hobo.pendant,05/22/19,2019,5,22,01:24:11,36.69532,-120.79684,shrub.soil,1,51.523,,1174238
panoche,hobo.pendant,05/22/19,2019,5,22,02:24:11,36.69532,-120.79684,shrub.soil,1,51.699,,1174238
panoche,hobo.pendant,05/22/19,2019,5,22,03:24:11,36.69532,-120.79684,shrub.soil,1,51.523,,1174238
panoche,hobo.pendant,05/22/19,2019,5,22,04:24:11,36.69532,-120.79684,shrub.soil,1,51.523,,1174238
panoche,hobo.pendant,05/22/19,2019,5,22,05:24:11,36.69532,-120.79684,shrub.soil,1,51.523,,1174238
panoche,hobo.pendant,05/22/19,2019,5,22,06:24:11,36.69532,-120.79684,shrub.soil,1,51.699,,1174238
panoche,hobo.pendant,05/22/19,2019,5,22,07:24:11,36.69532,-120.79684,shrub.soil,1,53.1,,1174238
panoche,hobo.pendant,05/22/19,2019,5,22,08:24:11,36.69532,-120.79684,shrub.soil,1,64.996,12,1174238
panoche,hobo.pendant,05/22/19,2019,5,22,09:24:11,36.69532,-120.79684,shrub.soil,1,66.193,6,1174238
