pendant.id,shelter.open,lat,lon,shape,cover.type,soil.moisture ,date,time,temp ,Intensity,timeblock
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/18/19,4:46:26 AM,72.372,3,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/18/19,5:46:26 AM,70.995,,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/18/19,6:46:26 AM,69.793,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/18/19,7:46:26 AM,69.107,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/18/19,8:46:26 AM,68.592,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/18/19,9:46:26 AM,68.763,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/18/19,10:46:26 AM,68.763,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/18/19,11:46:26 AM,68.421,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,12:46:26 PM,68.248,,afternoon
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,1:46:26 AM,68.421,,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,2:46:26 AM,68.248,,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,3:46:26 AM,68.248,,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,4:46:26 AM,68.248,,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,5:46:26 AM,68.077,,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,6:46:26 AM,67.906,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,7:46:26 AM,66.537,2,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,8:46:26 AM,67.221,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,9:46:26 AM,70.824,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,10:46:26 AM,71.856,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,11:46:26 AM,73.234,3,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,12:46:26 PM,75.312,,afternoon
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,1:46:26 AM,73.234,,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,2:46:26 AM,72.028,25,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,3:46:26 AM,70.308,31,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,4:46:26 AM,69.107,2,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,5:46:26 AM,75.484,672,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,6:46:26 AM,70.824,17,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,7:46:26 AM,69.107,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,8:46:26 AM,69.107,1,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,9:46:26 AM,68.763,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,10:46:26 AM,68.077,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/19/19,11:46:26 AM,67.735,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,12:46:26 PM,67.392,,afternoon
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,1:46:26 AM,67.05,,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,2:46:26 AM,67.05,,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,3:46:26 AM,66.879,,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,4:46:26 AM,66.708,,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,5:46:26 AM,66.537,,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,6:46:26 AM,66.366,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,7:46:26 AM,66.366,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,8:46:26 AM,62.598,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,9:46:26 AM,62.769,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,10:46:26 AM,63.968,384,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,11:46:26 AM,63.282,384,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,12:46:26 PM,69.278,288,afternoon
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,1:46:26 AM,73.062,468,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,2:46:26 AM,73.58,384,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,3:46:26 AM,72.891,3584,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,4:46:26 AM,96.361,496,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,5:46:26 AM,92.55,468,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,6:46:26 AM,77.923,2688,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,7:46:26 AM,59.68,96,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,8:46:26 AM,49.05,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,9:46:26 AM,47.446,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,10:46:26 AM,45.828,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/20/19,11:46:26 AM,44.013,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,12:46:26 PM,43.466,,afternoon
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,1:46:26 AM,44.742,,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,2:46:26 AM,45.104,,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,3:46:26 AM,43.648,,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,4:46:26 AM,45.286,,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,5:46:26 AM,45.466,34,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,6:46:26 AM,47.266,32,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,7:46:26 AM,53.623,768,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,8:46:26 AM,59.851,11264,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,9:46:26 AM,65.509,6144,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,10:46:26 AM,65.68,512,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,11:46:26 AM,82.508,1748,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,12:46:26 PM,66.366,6656,afternoon
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,1:46:26 AM,61.741,512,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,2:46:26 AM,55.884,234,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,3:46:26 AM,61.398,32,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,4:46:26 AM,57.268,1536,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,5:46:26 AM,68.248,2432,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,6:46:26 AM,56.75,96,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,7:46:26 AM,48.695,256,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,8:46:26 AM,45.828,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,9:46:26 AM,44.742,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,10:46:26 AM,44.56,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/21/19,11:46:26 AM,45.286,,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/22/19,12:46:26 PM,44.742,,afternoon
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/22/19,1:46:26 AM,46.008,,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/22/19,2:46:26 AM,46.188,,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/22/19,3:46:26 AM,45.104,,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/22/19,4:46:26 AM,46.369,,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/22/19,5:46:26 AM,46.728,5,evening
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/22/19,6:46:26 AM,47.982,352,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/22/19,7:46:26 AM,55.189,496,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/22/19,8:46:26 AM,70.651,3584,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/22/19,9:46:26 AM,61.569,3456,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/22/19,10:46:26 AM,80.206,874,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/22/19,11:46:26 AM,81.975,7168,morning
20578912,shelter,36.69363,-120.79318,Triangle,15,23,05/22/19,12:46:26 PM,70.308,5376,afternoon
